id,usuario_id,produto_id,compra_id,pontuacao,comentario,data
1,1,15,1,5,Voltarei a comprar,2024-07-17
2,1,29,1,1,Péssima experiência,2024-07-16
3,1,21,1,3,Atendeu às expectativas,2024-07-19
4,1,16,2,2,Preço alto para a qualidade,2025-05-02
5,1,10,2,1,Produto de baixa qualidade,2025-05-03
6,1,32,2,2,Não muito fresco,2025-04-24
7,1,23,2,3,Qualidade média,2025-04-28
8,1,19,3,3,Produto razoável,2025-04-28
9,1,8,4,2,Não muito fresco,2025-04-30
10,1,4,4,1,Produto de baixa qualidade,2025-05-04
11,1,15,5,4,Boa relação custo-benefício,2025-05-05
12,1,25,5,3,Aceitável,2025-05-06
13,1,9,6,1,Produto de baixa qualidade,2025-05-20
14,1,13,6,5,Superou expectativas,2025-05-19
15,1,28,7,3,Qualidade média,2025-04-16
16,1,23,7,5,Muito fresco,2025-04-08
17,1,4,8,2,Abaixo do esperado,2025-01-28
18,1,8,8,5,Superou expectativas,2025-01-27
19,1,11,10,4,Boa relação custo-benefício,2024-08-25
20,1,14,11,5,Superou expectativas,2024-06-14
21,1,32,11,1,Chegou estragado,2024-06-13
22,1,7,11,5,Excelente produto,2024-06-21
23,1,16,12,1,Não recomendo,2024-08-10
24,1,19,13,5,Voltarei a comprar,2025-03-13
25,1,10,13,5,Excelente produto,2025-03-16
26,1,17,14,4,Recomendo,2024-07-28
27,1,11,14,4,Bom produto,2024-07-24
28,1,26,15,4,Boa relação custo-benefício,2024-06-21
29,1,33,16,3,Aceitável,2025-04-12
30,1,13,17,5,Muito fresco,2024-11-05
31,1,2,17,3,Qualidade média,2024-10-28
32,1,16,17,5,Muito fresco,2024-11-03
33,1,16,18,5,Superou expectativas,2025-04-08
34,1,10,19,5,Voltarei a comprar,2025-03-30
35,1,25,20,1,Não recomendo,2025-05-20
36,1,11,20,4,Recomendo,2025-05-16
37,2,6,21,5,Voltarei a comprar,2025-05-24
38,2,17,21,5,Superou expectativas,2025-05-18
39,2,25,22,3,Atendeu às expectativas,2024-11-16
40,2,1,22,3,Qualidade média,2024-11-18
41,2,29,22,3,Aceitável,2024-11-23
42,2,16,22,3,Qualidade média,2024-11-13
43,2,27,24,3,Qualidade média,2024-11-14
44,2,6,24,5,Voltarei a comprar,2024-11-16
45,2,31,24,2,Não muito fresco,2024-11-11
46,2,22,27,5,Muito fresco,2025-02-10
47,2,24,27,1,Não recomendo,2025-01-30
48,2,6,28,2,Poderia ser melhor,2024-06-30
49,2,11,28,3,Aceitável,2024-06-28
50,2,27,31,4,Recomendo,2024-12-29
51,2,6,32,1,Não recomendo,2024-11-08
52,2,3,32,1,Não recomendo,2024-11-19
53,2,8,32,2,Abaixo do esperado,2024-11-21
54,2,33,33,3,Produto razoável,2025-02-16
55,2,14,33,5,Excelente produto,2025-02-14
56,2,11,33,5,Voltarei a comprar,2025-02-12
57,2,20,34,1,Chegou estragado,2025-02-13
58,2,5,34,3,Atendeu às expectativas,2025-02-17
59,2,23,36,4,Boa relação custo-benefício,2025-05-21
60,2,22,36,4,Bom produto,2025-05-09
61,2,18,36,4,Fresco e saboroso,2025-05-10
62,2,34,37,3,Qualidade média,2024-10-15
63,2,24,38,3,Atendeu às expectativas,2025-04-01
64,2,5,38,4,Fresco e saboroso,2025-03-23
65,2,1,39,3,Produto razoável,2025-01-01
66,2,29,39,3,Atendeu às expectativas,2024-12-25
67,2,6,40,5,Muito fresco,2024-08-11
68,2,11,40,4,Recomendo,2024-08-12
69,3,26,42,3,Produto razoável,2025-03-04
70,3,16,43,5,Superou expectativas,2024-08-01
71,3,19,43,2,Não muito fresco,2024-07-26
72,3,25,43,2,Preço alto para a qualidade,2024-08-03
73,3,22,43,4,Bom produto,2024-08-01
74,3,4,44,5,Excelente produto,2024-08-10
75,3,9,44,3,Produto razoável,2024-08-13
76,3,22,44,1,Não recomendo,2024-08-16
77,3,3,44,4,Fresco e saboroso,2024-08-03
78,3,12,46,2,Poderia ser melhor,2025-01-30
79,3,22,47,4,Boa relação custo-benefício,2024-12-18
80,3,1,47,5,Superou expectativas,2024-12-15
81,3,25,47,1,Não recomendo,2024-12-10
82,3,7,48,2,Abaixo do esperado,2024-12-26
83,3,6,48,5,Voltarei a comprar,2024-12-26
84,3,9,48,2,Poderia ser melhor,2024-12-28
85,3,29,49,1,Produto de baixa qualidade,2024-11-24
86,3,9,49,1,Não recomendo,2024-12-03
87,3,3,49,5,Excelente produto,2024-11-22
88,3,9,50,1,Não recomendo,2025-04-12
89,3,20,50,5,Superou expectativas,2025-04-02
90,3,30,51,2,Não muito fresco,2024-08-11
91,3,14,52,5,Superou expectativas,2025-04-01
92,3,15,52,1,Não recomendo,2025-04-03
93,3,32,52,5,Excelente produto,2025-04-05
94,3,11,53,5,Muito fresco,2025-05-04
95,3,9,53,2,Não muito fresco,2025-04-28
96,3,2,53,5,Voltarei a comprar,2025-05-04
97,3,10,54,2,Preço alto para a qualidade,2024-10-01
98,3,1,55,4,Recomendo,2024-12-27
99,3,27,55,1,Péssima experiência,2024-12-30
100,3,32,55,2,Não muito fresco,2025-01-05
101,3,7,56,1,Não recomendo,2025-05-07
102,3,19,56,5,Superou expectativas,2025-05-17
103,3,11,56,3,Qualidade média,2025-05-20
104,3,25,59,5,Muito fresco,2025-05-26
105,3,12,59,3,Qualidade média,2025-05-31
106,3,5,59,4,Boa relação custo-benefício,2025-05-31
107,3,31,59,4,Fresco e saboroso,2025-06-03
